BNC ID,Gloss,Phonetic,Word Category,Pl Phonetic
001,ANIMAL,i-ffe,,
003,ARMPIT,geher,,
004,ARROW,gavi,,
005,ASHES,bu-tug,,
006,ASK (A QUESTION),bise,,
007,"BAD (BE), TO",etibije (?),,
008,BEAN,i-ʤeb,,
009,BEG (ASK FOR S.T.),si,,
010,BELLY,gimiʔu,,
011,BITE,ʤergeji,V,
012,BUFFALO,iai,,
013,"BUILD, TO (CF. SEW)",u-ʤin,,
014,CALABASH,gikwie,,
015,CARVE,ʧeh,,
016,CHARCOAL,teri,,
017,CHILD,u-ji,,
018,COME OUT,fofo,,
019,"COOL, BE(COME) TO",godogon,,
020,CORPSE,her,,
021,COUNT: DRAW A LINE,"hari, gini ulai (H.)",,
022,COW/CATTLE,u-ʧin (?); ga-kui,,
023,CRAB,udidaʔag,,
024,CROCODILE,i-hak,,
025,"DANCE, TO","zir, zir",,
026,DEPTH,o-dun,,
027,DIE: DEATH,kwuwa,,
028,"DIVIDE, SHARE OUT, TO",u-gasa,,
029,"DRAW (WATER), TO",hi,,
030,"BECOME DRY, TO",jakisa,,
032,"EAT, TO",u-ja,,
033,EGG,gu-ʤiʔi,,
034,ELEPHANT,i-ni,,
035,"EXTINGUISHED, BE TO",rimise,,
036,EYE,gu-si,,
037,"FALL, TO",guigwa,,
038,"FAT, OIL, GREASE","wija-baʧi, baʧi",,
039,FEAR,i-wi,,
040,FEMALE,ezaʧea,,
041,FIREWOOD,ru-ku,,
042,FOREST (BUSH),"ga-kui, u-ʧin",,
043,CHICKEN/FOWL,i-nu,,
044,"FRY, TO BAKE IN ASHES, TO","a-kah, kari",,
045,"GIVE, TO","zija, tuna",,
046,"GO, WALK, TO","ʤiwa, ʤiran",,
047,GRASSHOPPER,u-su,,
048,"GROW, BECOME STRONG, TO","jeʧin, wejaʔegwam",,
049,GUINEA-FOWL,i-zug,,
050,HEAD,gi-ʧi,,
051,HEART,i-kuim,,
052,HEAVY,o-mor,,
053,HOE: CULTIVATE,"kogo, i-ger",,
054,"KILL, TO",takwah (?),,
055,"LEG, FOOT",gu-dawu,,
056,LEOPARD (‘PANTHER’),bin-gakui,,
057,"LIE DOWN, STRETCH ONESELF, SLEEP, TO","rarah, wuri wuru",,
058,"LICK, TO",rin,,
060,MEAT,i-ffe,,
